"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"1","MUG","6-3-C",3,"C","FILET","C",1,"9-C5",5,"White","PS",0.109,1.367,1.24,1.27,4.125,1.367,1.24,1.3035,0.9289276929087,0.952793013253703,"sphere","MUG",3,"C",174.52224,198,4.8,"Garonne","PS","No","B1"
"2","MUG","6-2-C",2,"C","FILET","D",1,"12-A3",3,"White","PS",1.22,1.252,2.735,11.17,13.43,1.252,2.735,0.33,4.25498659579442,0.831931440611169,"fragment","MUG",2,"C",170.19264,198,4.8,"Garonne","PS","No","B1"
"3","GSG","11-1-C",1,"C","FILET","A",23,"17-C6",2,"White","PS",0,2.295,1.013,0.692,3.944,2.295,1.013,0.08,2.36413954186729,0.248720367577606,"film","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"4","GSG","11-1-C",1,"C","FILET","A",23,"17-D8",5,"Red","PS",1.628,2.85,2.867,6.273,8.977,2.85,2.867,2.8585,1.00446813638636,1.00297949993349,"sphere","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"5","GSG","11-1-C",1,"C","FILET","A",23,"17-E1",5,"White","PS",2.547,3.855,3.584,10.613,11.687,3.855,3.584,3.7195,0.946484548147492,0.964423830540218,"sphere","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"6","GSG","11-1-C",1,"C","FILET","A",23,"17-E2",5,"White","PS",1.989,3.377,3.214,8.715,10.562,3.377,3.214,3.2955,0.963428931957142,0.975667163897156,"sphere","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"7","GSG","11-1-C",1,"C","FILET","A",23,"17-E3",5,"Red","PS",2.147,3.459,3.433,9.332,10.943,3.459,3.433,3.446,0.994353681161905,0.996236962262637,"sphere","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"8","GSG","11-1-C",1,"C","FILET","A",23,"17-E4",5,"White","PS",1.553,3.427,2.67,7.344,9.847,3.427,2.67,3.0485,0.826059080312504,0.884958864656121,"sphere","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"9","GSG","11-1-C",1,"C","FILET","A",23,"17-E5",5,"White","PS",0.392,2.454,1.682,2.847,7.189,2.454,1.682,2.068,0.746643768904841,0.83280336192701,"sphere","GSG",1,"C",33.33792,174,6.8,"Garonne","PS","No","B1"
"10","GSG","11-3-C2",3,"C2","FILET","A",3,"20-B3",5,"White","PS",2.078,3.089,3.096,7.701,9.94,3.089,3.096,3.0925,1.00169877740729,1.00113262531584,"sphere","GSG",3,"C2",37.39692,144,4.2,"Garonne","PS","No","B3"
"11","GSG","11-1-C2",1,"C2","FILET","A",3,"20-B4",3,"Black","PS",0.029,1.405,0.487,0.664,3.902,1.405,0.487,0.33,0.715210413453062,0.433407827801568,"fragment","GSG",1,"C2",35.9898,144,4.2,"Garonne","PS","No","B3"
"12","GSG","11-3-C3",3,"C3","FILET","A",21,"20-C7",3,"White","PS",0.062,2.021,1.032,1.604,4.954,2.021,1.032,0.33,1.26368715370425,0.436871456037335,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"13","GSG","11-3-C3",3,"C3","FILET","A",21,"20-C8",5,"Red","PS",1.627,2.889,2.625,6.152,8.905,2.889,2.625,2.757,0.930116082511557,0.953579699067082,"sphere","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
"14","GSG","11-3-C3",3,"C3","FILET","A",21,"20-D2",3,"White","PS",0.24,2.207,1.429,2.637,6.108,2.207,1.429,0.33,1.67445735826031,0.459177395947657,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PS","Yes","B4"
